Location,Artist,"Song Title"
BP-0001,10cc,"I'm Not In Love"
BP-0002,ABBA,"Dancing Queen"
BP-0003,ABBA,"Mamma Mia"
BP-0004,Adele,"Make You Feel My Love"
BP-0005,Adele,"Someone Like You"
BP-0006,Adele,"Hello "
BP-0007,"Alanis Morrissette",Ironic
BP-0008,"Alannah Myles","Black Velvet"
BP-0009,"Alicia Keys","Girl On Fire"
BP-0010,"Jay-Z ft. Alicia Keys","Empire State Of Mind"
BP-0011,"All Saints","Never Ever"
BP-0012,"Amy Grant","Big Yellow Taxi"
BP-0013,"Amy Winehouse","Back to Black"
BP-0014,"Aretha Franklin",Respect
BP-0015,"Atomic Kitten","Whole Again"
BP-0016,B-52s,"Love Shack"
BP-0017,"Backstreet Boys","I Want It That Way"
BP-0018,Bangles,"Walk Like An Egyptian"
BP-0019,"Bay City Rollers","Bye Bye Baby"
BP-0020,"Beach Boys","Wouldn't It Be Nice"
BP-0021,"The Beatles","Hey Jude"
BP-0022,"Bee Gees","Night Fever"
BP-0023,"Belinda Carlisle","Circle In The Sand"
BP-0024,Berlin,"Take My Breath Away"
BP-0025,"Bette Midler","Wind Beneath My Wings"
BP-0026,Beyonce,Halo
BP-0027,Beyonce,"Single Ladies"
BP-0028,"Bill Medley & Jennifer Warnes","(I've Had) The Time Of My Life"
BP-0029,Blondie,"One Way Or Another    "
BP-0030,"Bon Jovi","Livin' On A Prayer"
BP-0031,"Bonnie Tyler","Total Eclipse Of The Heart"
BP-0032,Boyzone,"No Matter What"
BP-0033,"Britney Spears","Baby One More Time"
BP-0034,"Bruno Mars","Marry You"
BP-0035,"Bryan Adams","Summer Of '69"
BP-0036,"Calvin Harris","How Deep Is Your Love"
BP-0037,Carpenters,"(They Long To Be) Close To You"
BP-0038,"Cee Lo Green","Forget You"
BP-0039,"Celine Dion","Think Twice"
BP-0040,"Charlie Puth ft. Megan Trainor","Marvin Gaye"
BP-0041,Cher,Believe
BP-0042,Cher,"The Shoop Shoop Song (It's In His Kiss)"
BP-0043,"Cheryl Cole","Fight For This Love"
BP-0044,"Clean Bandit ft. Jess Glynne","Real Love"
BP-0045,Coldplay,Yellow
BP-0047,Commodores,"Three Times A Lady"
BP-0048,Cranberries,Zombie
BP-0049,"Cyndi Lauper","Girls Just Wanna Have Fun"
BP-0050,"Daft Punk ft. Pharrell Williams ","Get Lucky"
BP-0051,"David Bowie","Life On Mars"
BP-0052,"Destiny's Child",Survivor
BP-0053,"Dexy's Midnight Runners","Come On Eileen"
BP-0054,"Diana Ross","Ain't No Mountain"
BP-0055,Dido,"White Flag"
BP-0056,"Dionne Warwick","I Say A Little Prayer"
BP-0057,"Dolly Parton","9 To 5"
BP-0058,"Dusty Springfield","Son Of A Preacher Man"
BP-0059,"Ed Sheeran","Thinking Out Loud"
BP-0060,"Ed Sheeran","Castle On The Hill"
BP-0061,"Ella Henderson",Ghost
BP-0062,"Ellie Goulding","How Long Will I Love You"
BP-0063,"Elton John","Crocodile Rock"
